Season Game,Date,player_age,Team,game_location,Opponent,game_result,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score
1,1984-10-26,21-252,CHI,Home,WSB,W (+16),1,40:00,5,16,.313,0,0,,6,7,.857,1,5,6,7,2,4,5,2,16,12.5
2,1984-10-27,21-253,CHI,Away,MIL,L (-2),1,34:00,8,13,.615,0,0,,5,5,1.000,3,2,5,5,2,1,3,4,21,19.4
3,1984-10-29,21-255,CHI,Home,MIL,W (+6),1,34:00,13,24,.542,0,0,,11,13,.846,2,2,4,5,6,2,3,4,37,32.9
4,1984-10-30,21-256,CHI,Away,KCK,W (+5),1,36:00,8,21,.381,0,0,,9,9,1.000,2,2,4,5,3,1,6,5,25,14.7
5,1984-11-01,21-258,CHI,Away,DEN,L (-16),1,33:00,7,15,.467,0,0,,3,4,.750,3,2,5,5,1,1,2,4,17,13.2
6,1984-11-07,21-264,CHI,Away,DET,W (+4),1,27:00,9,19,.474,0,0,,7,9,.778,1,3,4,3,3,1,5,5,25,14.9
7,1984-11-08,21-265,CHI,Away,NYK,W (+15),1,33:00,15,22,.682,0,0,,3,4,.750,4,4,8,5,3,2,5,2,33,29.3
8,1984-11-10,21-267,CHI,Away,IND,W (+2),1,42:00,9,22,.409,0,0,,9,12,.750,2,7,9,4,2,5,3,4,27,21.2
9,1984-11-13,21-270,CHI,Home,SAS,W (+3),1,43:00,18,27,.667,1,1,1.000,8,11,.727,2,8,10,4,3,2,4,4,45,37.5
10,1984-11-15,21-272,CHI,Home,BOS,L (-20),1,33:00,12,24,.500,0,1,.000,3,3,1.000,0,2,2,2,2,1,1,4,27,17.1
11,1984-11-17,21-274,CHI,Home,PHI,L (-9),1,44:00,4,17,.235,0,0,,8,8,1.000,0,5,5,7,5,2,4,5,16,12.5
12,1984-11-19,21-276,CHI,Home,IND,L (-17),1,39:00,11,26,.423,0,3,.000,12,16,.750,2,3,5,2,2,1,3,3,34,20.8
13,1984-11-21,21-278,CHI,Away,MIL,L (-10),1,42:00,11,22,.500,0,0,,13,14,.929,4,9,13,2,2,2,6,3,35,26.7
14,1984-11-23,21-280,CHI,Away,SEA,W (+19),1,30:00,9,13,.692,0,0,,5,6,.833,0,4,4,3,4,1,4,4,23,19.5
15,1984-11-24,21-281,CHI,Away,POR,L (-10),1,41:00,10,24,.417,0,1,.000,10,10,1.000,3,3,6,8,3,1,4,4,30,23.9
16,1984-11-27,21-284,CHI,Away,GSW,L (-6),1,24:00,6,10,.600,0,0,,1,1,1.000,0,2,2,3,3,2,4,1,13,11.1
17,1984-11-29,21-286,CHI,Away,PHO,L (-5),1,30:00,9,17,.529,1,1,1.000,3,4,.750,1,2,3,2,2,0,2,5,22,14.0
18,1984-11-30,21-287,CHI,Away,LAC,W (+4),1,37:00,9,15,.600,0,0,,2,4,.500,2,3,5,5,3,0,4,4,20,15.5
19,1984-12-02,21-289,CHI,Away,LAL,W (+1),1,42:00,7,13,.538,0,0,,6,8,.750,2,0,2,3,1,1,4,3,20,12.9
20,1984-12-04,21-291,CHI,Home,NJN,W (+15),1,35:00,7,13,.538,0,0,,6,6,1.000,1,2,3,6,1,0,3,3,20,16.0
21,1984-12-07,21-294,CHI,Home,NYK,W (+2),1,43:00,8,16,.500,0,1,.000,5,7,.714,1,1,2,3,2,0,6,5,21,9.3
22,1984-12-08,21-295,CHI,Home,DAL,W (+2),1,35:00,10,23,.435,0,0,,0,0,,4,3,7,2,0,2,2,3,20,11.2
23,1984-12-11,21-298,CHI,Home,DET,L (-7),1,37:00,13,28,.464,0,1,.000,1,3,.333,1,7,8,6,2,0,3,4,27,16.2
24,1984-12-12,21-299,CHI,Away,DET,L (-7),1,30:00,6,17,.353,0,2,.000,9,10,.900,0,1,1,2,2,1,1,5,21,12.5
25,1984-12-14,21-301,CHI,Away,NJN,L (-2),1,44:00,12,25,.480,0,0,,10,10,1.000,2,6,8,8,1,0,0,4,34,29.5
